date;FL1;FL2;FL3;FL4;FL5;FL6;FL7;FL8;FL9;FL10;FL11;FL12;FL13;FL14;FL15;FL16;FL17;FL18;FL19;FL20;FL21;FL22;FL23;FL24;FL25;FL26;FL27;FL28;FL29;FL30;FL31;FL32;FL33;FL34;FL35;FL36;FL37;FL38;FL39;FL40;FL41;FL42;FL43;FL44;FL45;FL46;FL47;FL48;FL49;FL50;FL51;FL52;FL53
2010-01-01;0;0;0;0.69788133763666;;;0;0.743821679116351;0.679821781775756;0;0;0;;0.853673371067258;0.786819251961975;0.809953546443173;0;0;0;0;0;0;0;0.929107785632956;0.95738035272615;0.855252552585578;1.02153448307683;0;1.83240771480589;0.976679468352261;1.37877018755928;0;0.544322064538983;1.13959815285449;0;0;0;1.15249861178635;1.08886041471047;0.795071732709193;1.66948980478069;0;0.821930953874354;1.23929171288935;1.02488678087209;1.29544862571339;1.38464978412908;1.15441327836192;1.2896670826938;1.24683343342793;;;
2010-02-01;0;0;0;0;;;0;0.722038789287575;0.666611359634143;0;0;0;;0.892815671349969;0.777682161711893;0.807195816473833;0;0;0;0;0;0;0;0.929107785632956;0.908693084783508;0.837086717632436;1.00221565964463;0;1.9199860247047;1.06939769319921;1.412165069684;0;0.566094947120542;1.02321366064808;0;0;0;0.927478712731382;1.33839092641495;0.789842315137566;1.45097216865009;0;0.926092710701749;1.39269802562362;1.30519769529864;1.15250257046226;1.7417203431673;1.32580363523655;1.55183238137514;1.86689483950296;;;
2010-03-01;0;0;0;0;;;0;0.705585871174275;0;0;0;0;;0.963594590917777;0.821588834724962;0.850288047696199;0;0;0;0;1.93568424098263;0;0;0.916763014560127;1.03228718373672;0.865562480506591;0.995280849208205;0;1.61009354352429;0.976519025102324;1.14817824334042;0;0.566094947120542;0.882582399231991;0;0;0;0.972800596580564;1.56523684614629;0.761075053991848;1.66168782415274;0;1.04319282679323;1.1717891591794;1.25945419891316;1.24184385499422;1.55634929648418;1.69111775418208;1.60315679886378;1.80113075097985;;;
2010-04-01;0;0;0;0;;;0;0.713300959381133;0;0;0;0;;1.25618398712795;0.899500641078268;0.893808107898715;0;0;0;1.01599363461977;0.87128220089602;0;0;0.868084693337253;1.07452314255517;0.875552246386616;0.973472749121403;0;0.949887822748641;0.738753328382031;0.950689688429674;1.39172000964555;0.60964071228366;0.751295014730851;0;0;0;1.02860716325327;1.83745194982391;0.748163663294238;1.03905562471299;0;0;1.14410121387172;1.11293501526528;1.11624476114876;1.11150510065296;1.28060322588886;1.18880012967468;0.922039363579101;;;
2010-05-01;0;1.2741374755452;0;0;;;0;0;0;0;0;0;;0;0.900590529863503;0.936568364394005;0;0;0;1.29380989400699;0.72071422237598;1.13143859098711;0;0.926729712134014;1.12332704353353;0.9716645501503;0.943970622738859;0;1.23920577374492;0;1.07367349073875;1.32728852771752;0.653186477446779;1.04746042985775;0;0;2.80159984275469;1.13087304916417;1.79208276587764;0.762949090491875;1.31078242055812;0;0;0.989563564311439;0.973241800737408;1.04108700089904;1.0404082091895;1.0246041200203;1.00588235731628;1.09651551680368;;;
2010-06-01;1.05457256053025;0.815632612455206;0;0;;;1.01676264323652;0;0;1.21412034270419;1.28417648036215;0;;0;0.933823374102596;0.833462857057224;0.99374131187383;0;0;0.773940894368888;0.762159478280462;0.927470404438817;0;1.10538939674635;0.879181957244709;1.15578047290718;0.863350826937407;0;0.89339713647106;1.12793138927758;0.795364623915383;0.98937259379618;0.674959360028338;1.12989944517063;0;0;1.71929839942051;0.913418865305421;0;0.757478987759434;1.08960635573867;0.903002430323456;0;0.914933417643533;0.929658819452618;1.00964135961904;0.858756526664062;0.846443730501681;0.855344030977098;0.974382209546474;;;
2010-07-01;0.904017285961249;0.80471512096284;0;0;;;0.866167595399943;0;0;0.944316665023627;0.932342462796374;1.21118615675609;;0;0;0;0.89174103225939;0.898210353824442;1.00262998179243;0.895962385659746;0;0.827672673561846;0;1.12493591656687;0.781495073106408;1.46583139961328;0.823389203763929;0;0.928211963735096;1.01382159892265;1.14196651187522;0.735156420091908;1.04872717767844;0;0;1.44737122397647;1.20722236951983;0.814075983568641;0;0.738664238805131;0.763340045828222;0.854729896060737;0;0.983039606950963;0.888368211510628;0.931562972384396;0.863652611507751;0.871173540712847;0.878535014616364;1.04802398391752;;;
2010-08-01;0.869357743224261;0;0;0;;;1.01479408051971;0;0;0.736522174181187;0.758117216624046;1.18956777658542;;0;0;0;0.811508141997584;0.891953238379399;1.09215051588104;1.25829373168869;0;0.955237515302151;0;1.12181779626687;0.771545725630021;1.26093512742935;0.905272062143439;0;1.61988421407525;0.855711328938551;0.835099034539697;1.09459380584842;1.39557153837285;0;0;0.983572710216054;0.849648431209206;0.862674173435203;0;0.728483072795968;1.0246454068609;0.783164850816142;0;0.937550326867949;0.836769029698797;0.922645562859554;0.860526155783555;0.928278739505092;0.821058135012607;1.01369346193553;;;
2010-09-01;0;0;0;0;;;0.962627168524027;0;0;0.616204671390475;0.640347219184791;1.17671438260512;;0.918206090434095;1.06631590631401;1.08313201621977;0.699482192598876;0.703403009293511;1.18883269269674;0.643690215623596;0;0.955262615961966;0;1.01789423970982;0.709849100603069;1.05213619519009;0.949925411303883;0;0.98927600939797;0.760386393344669;0.694992834986563;0.956507054087766;1.75172737133454;0.979569476070672;0;0.807649136031069;0.872556302473822;1.09768229127025;1.31570633444181;0.697599853792443;0.82383471401591;0.710062283756639;0.91596061253763;0.953780529884025;0.816353483755139;0.930897962980217;1.05845862998036;1.12495511282723;1.07580126166684;0.9985404461468;;;
2010-10-01;0;0;0.940304890050533;0;;;0.984281358409026;0;0.831888799562569;0;0;1.16337966323263;;0.917813905984628;1.00933576537841;1.03183671560561;0.6586017499455;0.717256656399369;1.33564636860206;1.04091854256454;0;0.624910154872861;0;1.0035578656702;0.689018227374152;0.945052716390953;0.954212814317306;0;1.05785783431854;0.597038277024487;0.749077354052523;0.789447883603597;1.85069501943254;0.858335630022321;0;0.583746405250178;1.15243008362637;1.06125550653567;1.179598782603;0.695051883155964;0.836542625195989;0.526881136905585;1.13327991428206;0.914093157211068;0.957744175304686;0.922102415041347;0.969860007702995;0.955989023998959;1.00483223221225;1.07638365297007;;;
